,ids,texts,user_ids,user_screen_name,in_reply_to_user_ids,in_reply_to_screen_names,user_mentionses,created_ats
566,1.37669E+18,"Jepang Janjikan Bantuan Cold Chain Vaksin Covid-19 untuk Indonesia Senilai Rp 52,6 Miliar https://t.co/cYOCCdByRu https://t.co/U5N1DFmhBA",154102750,Beritasatu,,,[],3/30/2021 0:07
567,1.37669E+18,"[Sudah di vaksin?]

Seperti yang diketahui Indonesia sudah memulai vaksinasi sejak Januari lalu, nah bagi penerima… https://t.co/f4tUl76Bo7",1.35877E+18,HIMAIKMUnand,,,[],3/30/2021 0:03
568,1.37668E+18,"RT @detikcom: PT Bio Farma menyampaikan perkembangan terkait program vaksinasi COVID-19 di Indonesia. Hingga kini 20,5 juta dosis vaksin su…",10469252,zekte,,,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': 69183155, 'id_str': '69183155', 'indices': [3, 12]}]",3/29/2021 23:35
569,1.37667E+18,"Hingga 29 Maret, 10 Juta Lebih Warga Indonesia Telah Menerima Suntikan Vaksin Covid-19
 
https://t.co/bZDSPh7A3X",124171593,tribunnews,,,[],3/29/2021 23:17
570,1.37667E+18,"RT @detikcom: PT Bio Farma menyampaikan perkembangan terkait program vaksinasi COVID-19 di Indonesia. Hingga kini 20,5 juta dosis vaksin su…",1.17915E+18,SagaSantorini,,,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': 69183155, 'id_str': '69183155', 'indices': [3, 12]}]",3/29/2021 23:14
571,1.37667E+18,"130 ribu vaksin AstraZeneca disuntikkan untuk TNI. 

TNI sehat, Indonesia kuat 👍 https://t.co/7NGLfh03Aj",84221579,narkosun,,,[],3/29/2021 23:05
572,1.37667E+18,"RT @detikcom: PT Bio Farma menyampaikan perkembangan terkait program vaksinasi COVID-19 di Indonesia. Hingga kini 20,5 juta dosis vaksin su…",241018848,minosyahmadi,,,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': 69183155, 'id_str': '69183155', 'indices': [3, 12]}]",3/29/2021 22:59
573,1.37667E+18,"RT @detikcom: PT Bio Farma menyampaikan perkembangan terkait program vaksinasi COVID-19 di Indonesia. Hingga kini 20,5 juta dosis vaksin su…",1.27636E+18,nandorero05,,,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': 69183155, 'id_str': '69183155', 'indices': [3, 12]}]",3/29/2021 22:52
574,1.37667E+18,"PT Bio Farma menyampaikan perkembangan terkait program vaksinasi COVID-19 di Indonesia. Hingga kini 20,5 juta dosis… https://t.co/qguRkO0k0m",69183155,detikcom,,,[],3/29/2021 22:48
575,1.37666E+18,"Palestina Terima 100.000 Vaksin Covid-19 dari China - #INDONESIA

https://t.co/vx4Mv6g2RV",168469708,IDCorner,,,[],3/29/2021 22:10
576,1.37663E+18,"RT @BudiGSadikin: Di luar negara2 yg mampu memproduksi vaccine sendiri (US, China, India, UK, Russia), Indonesia secara bertahap naik perin…",1.23766E+18,FMKBR1,,,"[{'screen_name': 'BudiGSadikin', 'name': 'Budi G. Sadikin', 'id': 165313357, 'id_str': '165313357', 'indices': [3, 16]}]",3/29/2021 20:20
577,1.37662E+18,"RT @narkosun: Alhamdulillah.

Indonesia beruntung sdh menjalin kerja sama dgn 4 produksi vaksin: Sinovac, Astrazeneca, Novavax &amp; Pfizer.

J…",1.04995E+18,Detektif_Ngibul,,,"[{'screen_name': 'narkosun', 'name': 'IG: narkosun', 'id': 84221579, 'id_str': '84221579', 'indices': [3, 12]}]",3/29/2021 19:53
578,1.37659E+18,RT @ChusnulCh__: Indonesia saat ini posisi 4 besar negara tdk produksi vaksin tp telah melakukn penyuntikan diatas 10 juta sasaran vaksinas…,9.69878E+17,Purwa_wicak,,,"[{'screen_name': 'ChusnulCh__', 'name': 'Chusnul Chotimah', 'id': 2928583759, 'id_str': '2928583759', 'indices': [3, 15]}]",3/29/2021 17:25
579,1.37658E+18,JAKARTA - Menteri Kesehatan Budi Gunadi Sadikin menyatakan pengiriman vaksin AstraZeneca periode Maret dan April 20… https://t.co/j2wPMRACOu,388848045,Radar_Cirebon,,,[],3/29/2021 17:02
580,1.37657E+18,"SUARA JEMBER NEWS, Jember - Penerima vaksin COVID-19 bisa melakukan donor darah setelah dua pekan mendapatkan vaksi… https://t.co/j42spIb5Ne",1.35452E+18,SuaraJemberNews,,,[],3/29/2021 16:21
581,1.37657E+18,https://t.co/uGfJjz7ce0,373679260,bamsoetnews,,,[],3/29/2021 16:14
582,1.37657E+18,Gara-Gara Hal Ini Stok Vaksin Covid-19 di Indonesia Nyaris Habis Hanya Cukup Sampai 15 Hari ke Depan https://t.co/HVkO9IEtJx,1434466604,ArdanNews,,,[],3/29/2021 16:11
